Time,Latitude,Longitude,Altitude,Speed
2024-04-04 20:54:39.720,10.7812681,106.6317133,1.074581035961785,0.0
2024-04-04 20:54:42.776,10.7811604,106.6315604,5.099999904632568,4.490769386291504
2024-04-04 20:54:49.071,10.7813404,106.6313626,5.099999904632568,6.518718242645264
2024-04-04 20:54:54.070,10.7814832,106.6309327,5.099999904632568,8.187670707702637
2024-04-04 20:54:58.047,10.7816087,106.6305573,5.099999904632568,8.38957691192627
2024-04-04 20:55:03.048,10.7817295,106.6302202,5.099999904632568,8.469409942626953
2024-04-04 20:55:08.047,10.7818651,106.6298832,5.099999904632568,8.310500144958496
2024-04-04 20:55:13.048,10.7819709,106.6295235,5.099999904632568,8.190142631530762
2024-04-04 20:55:18.048,10.7820831,106.6291629,4.699999809265137,8.091360092163086
2024-04-04 20:55:23.047,10.782159,106.6288092,4.699999809265137,7.519924640655518
2024-04-04 20:55:28.048,10.7822123,106.6284321,4.699999809265137,9.034433364868164
2024-04-04 20:55:31.049,10.7822824,106.6281935,4.699999809265137,9.013354301452637
2024-04-04 20:55:39.048,10.7825083,106.6275291,4.699999809265137,9.788752555847168
2024-04-04 20:55:43.048,10.782637,106.6271849,5.699999809265137,9.930059432983398
2024-04-04 20:55:48.047,10.7827645,106.6267678,5.699999809265137,9.341715812683105
2024-04-04 20:55:53.047,10.7828803,106.6263889,5.699999809265137,8.871368408203125
2024-04-04 20:55:58.047,10.7829928,106.6260112,5.699999809265137,9.159029960632324
2024-04-04 20:56:03.048,10.7831336,106.6255818,5.699999809265137,10.226198196411133
2024-04-04 20:56:08.046,10.7832733,106.6251328,5.699999809265137,10.269975662231445
2024-04-04 20:56:13.047,10.7834095,106.6247472,5.699999809265137,7.938215255737305
2024-04-04 20:56:18.048,10.7835278,106.6244316,5.0,7.032742500305176
2024-04-04 20:56:23.048,10.7837194,106.6243135,5.0,5.900922775268555
2024-04-04 20:56:28.048,10.7840642,106.6244231,5.0,8.212890625
2024-04-04 20:56:33.047,10.7844512,106.6245623,5.0,9.564226150512695
2024-04-04 20:56:38.047,10.7848562,106.624699,5.0,8.603991508483887
2024-04-04 20:56:43.048,10.7851603,106.624791,5.0,5.650814533233643
2024-04-04 20:56:48.047,10.7853221,106.6248572,5.0,3.2490105628967285
2024-04-04 20:56:53.048,10.7855806,106.6249569,4.099999904632568,8.80217456817627
2024-04-04 20:56:58.048,10.7860202,106.6250849,4.0,9.60966968536377
2024-04-04 20:57:03.048,10.7864117,106.6251991,4.0,8.364335060119629
2024-04-04 20:57:08.047,10.7867015,106.6252756,4.0,5.083497524261475
2024-04-04 20:57:14.048,10.786834,106.6250489,4.0,7.228418350219727
2024-04-04 20:57:18.048,10.7869143,106.6247703,4.0,7.7077131271362305
2024-04-04 20:57:24.047,10.7870433,106.6243211,4.0,8.249032974243164
2024-04-04 20:57:28.048,10.7871478,106.6240389,4.099999904632568,7.741891384124756
2024-04-04 20:57:33.047,10.7872641,106.6237546,4.099999904632568,5.8669657707214355
2024-04-04 20:57:38.047,10.7874399,106.6236863,4.099999904632568,5.017496585845947
2024-04-04 20:57:43.046,10.7877025,106.6237513,4.099999904632568,5.32898473739624
2024-04-04 20:57:48.048,10.7879807,106.6238577,4.099999904632568,6.3366827964782715
2024-04-04 20:57:54.048,10.7881476,106.6240602,4.099999904632568,4.784028053283691
2024-04-04 20:57:59.048,10.7880981,106.6243936,4.099999904632568,7.4602179527282715
2024-04-04 20:58:03.048,10.7880378,106.6247028,4.099999904632568,7.380852699279785
2024-04-04 20:58:08.048,10.787986,106.6250383,5.0,7.340022563934326
2024-04-04 20:58:13.048,10.7879241,106.6253838,5.0,8.395881652832031
2024-04-04 20:58:18.048,10.7878395,106.6257443,5.0,8.150670051574707
2024-04-04 20:58:23.047,10.7877842,106.6261121,5.0,7.85129976272583
2024-04-04 20:58:28.048,10.7877508,106.6264324,5.0,6.734549522399902
2024-04-04 20:58:33.047,10.7877784,106.6266443,5.0,3.3889477252960205
2024-04-04 20:58:38.048,10.7878809,106.6267148,4.5,3.139526128768921
2024-04-04 20:58:43.048,10.788027,106.6267313,4.5,2.872431516647339
2024-04-04 20:58:49.047,10.7881501,106.6267148,4.599999904632568,2.4466631412506104
2024-04-04 20:58:54.048,10.7881808,106.6266997,4.900000095367432,1.480558156967163
2024-04-04 20:58:58.048,10.7881866,106.6266978,4.900000095367432,0.8725588917732239
2024-04-04 20:59:06.183,10.7881603,106.626701,4.900000095367432,0.07252661883831024
2024-04-04 20:59:09.048,10.7881797,106.6267018,4.900000095367432,0.3127343952655792
2024-04-04 20:59:12.048,10.7881835,106.6267024,4.900000095367432,0.2403053194284439
2024-04-04 20:59:19.046,10.7881854,106.6267064,5.0,0.110039621591568
2024-04-04 20:59:24.046,10.7881879,106.6267104,4.900000095367432,0.10140399634838104
2024-04-04 20:59:29.047,10.7881901,106.626712,4.900000095367432,0.052189748734235764
2024-04-04 20:59:31.309,10.7881906,106.6267123,5.0,0.02928110398352146
2024-04-04 20:59:34.047,10.7881919,106.6267116,5.0,0.04555901512503624
2024-04-04 20:59:39.046,10.7881941,106.6267112,5.0,0.04982947185635567
2024-04-04 20:59:41.314,10.7881945,106.6267111,4.900000095367432,0.022715836763381958
2024-04-04 20:59:44.047,10.7881967,106.6267105,4.900000095367432,0.06707299500703812
2024-04-04 20:59:49.046,10.7881996,106.6267102,4.900000095367432,0.06497082859277725
2024-04-04 20:59:51.817,10.7882002,106.6267101,5.0,0.02817595563828945
2024-04-04 20:59:56.811,10.7882008,106.6267117,4.900000095367432,0.020056085661053658
2024-04-04 21:00:01.853,10.7881978,106.6267125,5.0,0.034597598016262054
2024-04-04 21:00:06.860,10.7881965,106.6267108,5.0,0.026400143280625343
2024-04-04 21:00:11.892,10.7881981,106.6267114,5.0,0.015178249217569828
2024-04-04 21:00:14.976,10.7881996,106.626713,5.0,0.039192140102386475
2024-04-04 21:00:19.047,10.7882015,106.6267146,5.0,0.06271679699420929
2024-04-04 21:00:21.937,10.788202,106.6267151,5.0,0.0302541833370924
2024-04-04 21:00:26.954,10.788204,106.6267166,5.0,0.034090325236320496
2024-04-04 21:00:31.973,10.7882044,106.6267174,5.0,0.016344118863344193
2024-04-04 21:00:37.020,10.7882045,106.6267172,4.900000095367432,0.002037430414929986
2024-04-04 21:00:42.037,10.7882056,106.6267169,4.900000095367432,0.014440538361668587
2024-04-04 21:00:47.054,10.7882062,106.6267159,4.900000095367432,0.015406142920255661
2024-04-04 21:00:52.083,10.7882063,106.6267144,4.900000095367432,0.02019312232732773
2024-04-04 21:00:57.133,10.7882063,106.6267137,4.699999809265137,0.01267467625439167
2024-04-04 21:01:02.122,10.7882063,106.626713,4.900000095367432,0.009981839917600155
2024-04-04 21:01:07.181,10.7882067,106.6267119,4.900000095367432,0.01580929197371006
2024-04-04 21:01:12.181,10.7882066,106.6267109,5.0,0.014421871863305569
2024-04-04 21:01:17.192,10.7882061,106.6267097,4.900000095367432,0.02194824069738388
2024-04-04 21:01:22.231,10.7882065,106.6267089,5.0,0.020161466673016548
2024-04-04 21:01:27.243,10.7882068,106.6267094,4.900000095367432,0.0076140789315104485
2024-04-04 21:01:32.276,10.7882065,106.6267082,5.0,0.01316206157207489
2024-04-04 21:01:37.272,10.7882075,106.6267065,5.0,0.023590484634041786
2024-04-04 21:01:42.311,10.7882077,106.6267061,5.0,0.01067931205034256
2024-04-04 21:01:47.333,10.7882073,106.6267069,4.900000095367432,0.007055602036416531
2024-04-04 21:01:50.047,10.7882058,106.6267074,4.900000095367432,0.03980667516589165
2024-04-04 21:01:52.364,10.7882054,106.6267076,5.0,0.023420536890625954
2024-04-04 21:01:57.374,10.788204,106.6267082,5.0,0.024867309257388115
2024-04-04 21:02:02.421,10.7882029,106.6267082,4.900000095367432,0.017315100878477097
2024-04-04 21:02:09.046,10.7882017,106.6267082,4.900000095367432,0.005889200139790773
2024-04-04 21:02:14.046,10.7882021,106.6267082,5.0,0.008523095399141312
2024-04-04 21:02:19.047,10.7882018,106.626708,5.0,0.00716638145968318
2024-04-04 21:02:24.047,10.788202,106.626708,4.900000095367432,0.0038630240596830845
2024-04-04 21:02:29.047,10.7882021,106.6267074,4.900000095367432,0.012663348577916622
2024-04-04 21:02:34.047,10.7882013,106.6267073,5.0,0.01701917126774788
2024-04-04 21:02:39.045,10.7882,106.6267071,4.800000190734863,0.028726590797305107
2024-04-04 21:02:44.047,10.7881996,106.6267077,4.699999809265137,0.015753155574202538
2024-04-04 21:02:49.046,10.7881993,106.626708,5.0,0.009649185463786125
2024-04-04 21:02:52.047,10.7881993,106.626708,4.900000095367432,0.0008213764522224665
2024-04-04 21:02:59.047,10.7881988,106.6267084,5.0,0.00987983588129282
2024-04-04 21:03:02.046,10.7881987,106.6267084,5.0,0.003981017507612705
2024-04-04 21:03:09.047,10.788199,106.6267091,5.0,0.011685658246278763
2024-04-04 21:03:12.047,10.788199,106.6267092,5.0,0.004152174573391676
2024-04-04 21:03:19.046,10.7881992,106.6267091,4.699999809265137,0.0034422441385686398
2024-04-04 21:03:22.048,10.7881991,106.6267091,5.0,0.0033255410380661488
2024-04-04 21:03:29.045,10.7881994,106.6267089,5.0,0.005738446954637766
2024-04-04 21:03:32.047,10.7881994,106.6267089,5.0,0.00329126650467515
2024-04-04 21:03:39.046,10.7881996,106.6267094,5.0,0.0052240933291614056
2024-04-04 21:03:44.046,10.7881998,106.6267099,5.0,0.008988254703581333
